City;Lat;Lng
Beindersheim;49.567;8.317
Belgern;51.482;13.121
Bell;50.383;7.233
Bell (Hunsrück);50.067;7.417
Bellenberg;48.250;10.100
Bellheim;49.200;8.283
Belm;52.300;8.133
Beltheim;50.100;7.467
Belum;53.817;9.000
Belzig;52.147;12.593
Bempflingen;48.567;9.267
Bendestorf;53.333;9.967
Bendorf;50.417;7.583
Benediktbeuren;47.700;11.417
Benndorf;51.569;11.496
Benneckenstein;51.667;10.710
Benningen;47.967;10.217
Benningen am Neckar;48.950;9.250
Bensdorf;52.424;12.343
Benshausen;50.647;10.594
Bensheim;49.683;8.600
Beratzhausen;49.100;11.800
Berching;49.100;11.433
Berchtesgaden;47.633;13.000
Berg;47.817;9.600
Berg;47.967;11.350
Berg;50.383;11.783
Berg;50.550;6.950
Berg (Pfalz);48.983;8.200
Berg Bei Neumarkt;49.333;11.433
Berga;50.750;12.159
Bergatreute;47.850;9.750
Berge;52.617;7.750
Bergen;47.817;12.583
Bergen;49.067;11.117
Bergen;52.817;9.967
Bergen;54.415;13.434
Bergen (Dumme);52.900;10.967
Bergfelde;52.674;13.322
Berghaupten;48.417;7.983
Bergheim;48.767;11.267
Bergheim;50.950;6.650
Berghülen;48.467;9.767
Bergisch Gladbach;50.983;7.133
Bergkamen;51.617;7.633
Bergkirchen;48.250;11.367
Berglen;48.867;9.467
Berglern;48.383;11.933
Bergneustadt;51.017;7.650
Bergrheinfeld;50.017;10.183
Bergtheim;49.900;10.083
Bergwitz;51.798;12.587
Berkatal;51.233;9.917
Berkenthin;53.733;10.650
Berkheim;48.033;10.083
Berlin;52.533;13.4
Bermatingen;47.733;9.350
Bermsgrün;50.528;12.783
Bernau;47.800;8.033
Bernau;52.683;13.583
Bernau am Chiemsee;47.817;12.383
Bernbeuren;47.733;10.783
Bernburg;51.791;11.736
Berne;53.183;8.483
Berngau;49.250;11.400
Bernhardswald;49.100;12.250
Bernkastel-Kues;49.917;7.067
Bernried;47.867;11.300
Bernried;48.917;12.883
Bernsbach;50.587;12.768
Bernsdorf;50.768;12.667
Bernsdorf;51.376;14.074
Bernstadt;48.500;10.017
Bernstadt;51.048;14.842
Bernterode;51.399;10.471
Bersenbrück;52.550;7.950
Berthelsdorf;50.869;13.373
Berthelsdorf;51.028;14.776
Berthelsdorf;51.050;14.228
Bertsdorf;50.885;14.759
Berumbur;53.583;7.317
Berzdorf an der Eigen;51.064;14.915
Beselich;50.467;8.117
Besigheim;49.000;9.150
Bessenbach;49.967;9.250
Bestensee;52.245;13.633
Bestwig;51.367;8.400
Betheln;52.117;9.800
Bettingen;49.950;6.400
Betzdorf;50.783;7.867
Betzenstein;49.683;11.417
Betzigau;47.733;10.383
Betzweiler-Wälde;48.383;8.483
Beucha;51.319;12.565
Beuren;48.567;9.400
Beuren (Hochwald);49.733;6.917
Beuron;48.083;9.033
Beutelsbach;48.550;13.117
Bevern;51.867;9.500
Beverstedt;53.433;8.817
Beverungen;51.667;9.383
Bexbach;49.350;7.267
Biberach;48.333;8.033
Biberach an der Riss;48.100;9.783
Biberbach;48.517;10.817
Bibertal;48.400;10.200
Biblis;49.683;8.450
Bichl;47.717;11.417
Bickenbach;49.750;8.617
Bidingen;47.833;10.733
Biebelried;49.767;10.083
Bieberehren;49.517;10.000
Biebergemünd;50.217;9.283
Biebertal;50.617;8.600
Biebesheim am Rhein;49.783;8.467
Biedenkopf;50.917;8.533
Biederbach;48.200;8.033
Biederitz;52.161;11.716
Bielatal;50.872;14.054
Bielefeld;52.017;8.533
Bielen;51.489;10.843
Bienenbüttel;53.150;10.483
Bienenmühle;50.736;13.540
Biere;51.972;11.652
Biesenthal;52.768;13.634
Biessenhofen;47.833;10.633
Bietigheim;48.917;8.250
Bietigheim-Bissingen;48.950;9.133
Billerbeck;51.983;7.283
Billigheim;49.350;9.250
Billigheim-Ingenheim;49.133;8.100
Bilshausen;51.633;10.167
Binau;49.367;9.050
Bindlach;49.983;11.617
Bingen;48.117;9.267
Bingen;49.967;7.900
Binsfeld;49.967;6.700
Binswangen;48.550;10.650
Binzen;47.633;7.633
Bippen;52.583;7.733
Birenbach;48.750;9.667
Birgland;49.417;11.633
Birken-Honigsessen;50.817;7.733
Birkenau;49.567;8.717
Birkenfeld;48.867;8.633
Birkenfeld;49.650;7.167
Birkenfeld;49.850;9.700
Birkenheide;49.483;8.267
Birkwitz-Pratzschwitz;50.982;13.891
Birlenbach;50.350;8.000
Birnbach;48.450;13.100
Birresborn;50.183;6.633
Birstein;50.350;9.300
Bischberg;49.917;10.833
Bischbrunn;49.867;9.500
Bischheim;51.241;14.040
Bischoffen;50.700;8.450
Bischofsgrün;50.050;11.800
Bischofsheim;49.983;8.367
Bischofsheim an der Rhön;50.400;10.017
Bischofsmais;48.917;13.083
Bischofswerda;51.133;14.184
Bischofswiesen;47.650;12.967
Bischweier;48.833;8.283
Bisingen;48.317;8.917
Bismark;52.661;11.556
Bispingen;53.083;10.000
Bissendorf;52.233;8.167
Bissingen;48.717;10.617
Bissingen an der Teck;48.600;9.500
Bitburg;49.967;6.533
Bitterfeld;51.626;12.322
Bitz;48.250;9.100
Blaibach;49.167;12.817
Blaichach;47.533;10.250
Blankenbach;50.067;9.233
Blankenburg;51.791;10.959
Blankenfelde;52.330;13.405
Blankenhain;50.858;11.343
Blankenheim;50.433;6.650
Blankenheim;51.507;11.433
Blaubeuren;48.417;9.783
Blaufelden;49.300;9.967
Blaustein;48.417;9.917
Bleckede;53.283;10.733
Bleicherode;51.440;10.576
Blekendorf;54.283;10.683
Blender;52.933;9.133
Bliedersdorf;53.483;9.567
Blieskastel;49.233;7.267
Blindheim;48.633;10.617
Blomberg;51.950;9.100
Blomberg;53.583;7.567
Blumberg;47.833;8.533
Blumberg;52.606;13.621
Bobbau;51.690;12.264
Bobenheim-Roxheim;49.583;8.367
Bobingen;48.267;10.833
Bocholt;51.833;6.617
Bochum;51.483;7.217
Bockau;50.544;12.692
Bockenau;49.833;7.683
Bockenem;52.017;10.133
Bockenheim an der Weinstrasse;49.600;8.183
Bockhorn;48.317;11.983
Bockhorn;53.400;8.017
Bodelshausen;48.400;8.967
Bodenfelde;51.633;9.550
Bodenheim;49.933;8.317
Bodenkirchen;48.383;12.383
Bodenmais;49.067;13.100
Bodenteich;52.833;10.683
Bodenwerder;51.983;9.517
Bodenwöhr;49.267;12.300
Bodman-Ludwigshafen;47.817;9.067
Bodnegg;47.717;9.700
Bodolz;47.567;9.667
Boffzen;51.750;9.383
Bogen;48.917;12.700
Bohmte;52.367;8.317
Boizenburg;53.383;10.719
Bokel;53.400;8.767
Bokholt-Hanredder;53.783;9.717
Bolanden;49.633;8.017
Boll;48.633;9.617
Bollendorf;49.850;6.367
Bollingstedt;54.600;9.417
Bollschweil;47.917;7.783
Bomlitz;52.900;9.667
Bondorf;48.517;8.833
Bonn;50.733;7.100
Bonndorf im Schwarzwald;47.817;8.350
Boos;48.083;10.200
Boostedt;54.017;10.017
Bopfingen;48.850;10.350
Boppard;50.233;7.583
Borchen;51.667;8.733
Bordelum;54.633;8.933
Bordesholm;54.183;10.033
Borgentreich;51.583;9.250
Borgholzhausen;52.100;8.300
Borgsdorf;52.713;13.269
Borgstedt;54.333;9.717
Borken;51.850;6.850
Borken (Hessen);51.050;9.283
Borkum;53.583;6.667
Borna;51.128;12.507
Borna;51.312;13.180
Borne;51.947;11.558
Bornheim;50.767;6.983
Bornhöved;54.067;10.233
Bornich;50.133;7.767
Bornstedt;51.479;11.485
Borsdorf;51.346;12.536
Borstel;52.667;8.967
Borstel-Hohenraden;53.683;9.817
Borstendorf;50.771;13.181
Bosau;54.117;10.433
Bothel;53.067;9.500
Bottendorf;51.305;11.403
Bottrop;51.533;6.933
Bovenden;51.583;9.917
Boxberg;49.483;9.650
Boxberg;51.413;14.581
Boxdorf;51.119;13.699
Brachbach;50.817;7.950
Brachttal;50.300;9.300
Brackel;53.300;10.050
Brackenheim;49.083;9.067
Brake (Unterweser);53.333;8.483
Brakel;51.717;9.183
Bramsche;52.417;7.983
Bramstedt;53.367;8.700
Brand;49.967;11.917
Brand-Erbisdorf;50.867;13.322
Brandenburg;52.413;12.552
Brandis;51.330;12.609
Brandshagen;54.243;13.184
Brannenburg;47.750;12.100
Braubach;50.267;7.650
Brauneberg;49.917;6.983
Braunfels;50.517;8.383
Braunlage;51.733;10.617
Braunsbach;49.200;9.800
Braunsbedra;51.282;11.884
Braunschweig;52.267;10.533
Braunsdorf;51.016;13.574
Brechen;50.367;8.167
Breckerfeld;51.267;7.467
Breddorf;53.300;9.083
Bredstedt;54.617;8.967
Brehna;51.557;12.207
Breidenbach;50.883;8.450
Breiholz;54.217;9.533
Breisach am Rhein;48.033;7.583
Breitbrunn am Chiemsee;47.883;12.400
Breitenau;50.849;13.163
Breitenbach;49.433;7.267
Breitenbach am Herzberg;50.783;9.517
Breitenberg;48.700;13.800
Breitenbrunn;48.133;10.400
Breitenbrunn;49.083;11.617
Breitenbrunn;50.479;12.768
Breitenburg;53.900;9.567
Breitenfelde;53.600;10.633
Breitengüssbach;49.967;10.883
Breitenworbis;51.411;10.431
Breitnau;47.933;8.083
Breitscheid;50.600;7.450
Breitscheid;50.683;8.183
Breitungen;50.764;10.330
Breklum;54.600;8.983
Bremen;53.083;8.817
Bremerhaven;53.550;8.583
Bremervörde;53.483;9.150
Brennberg;49.067;12.400
Brensbach;49.767;8.883
Bretnig;51.151;14.066
Bretten;49.033;8.717
Bretzenheim;49.883;7.900
Bretzfeld;49.183;9.450
Breuberg;49.817;9.050
Breuna;51.417;9.183
Brey;50.267;7.633
Briedel;50.017;7.150
Brieselang;52.592;13.000
Briesen;52.342;14.280
Brieske;51.507;13.978
Brieskow-Finkenheerd;52.255;14.580
Brietlingen;53.333;10.450
Brigachtal;48.017;8.467
Brilon;51.400;8.567
Britz;52.878;13.817
Brockel;53.100;9.517
Brockum;52.467;8.417
Brohl-Lützing;50.483;7.333
Brokstedt;54.000;9.817
Brombachtal;49.733;8.950
Brome;52.600;10.950
Bromskirchen;51.100;8.633
Brotterode;50.826;10.446
Bruchhausen-Vilsen;52.833;9.000
Bruchköbel;50.183;8.917
Bruchmühlbach-Miesau;49.383;7.433
Bruchsal;49.117;8.583
Bruck in der Oberpfalz;49.250;12.317
Bruckberg;48.517;12.000
Bruckberg;49.367;10.700
Bruckmühl;47.883;11.917
Brunnen;48.633;11.300
Brunnthal;48.000;11.683
Brunsbek;53.600;10.267
Brunsbüttel;53.900;9.150
Bruttig-Fankel;50.133;7.233
Bräunlingen;47.933;8.450
Bräunsdorf;50.936;13.217
Bröckel;52.517;10.217
Brück;52.202;12.765
Brücken;49.633;7.117
Brücken (Pfalz);49.433;7.367
Brüel;53.741;11.712
Brüggen;51.250;6.183
Brüggen;52.050;9.783
Brühl;49.400;8.533
Brühl;50.833;6.900
Brünlos;50.688;12.826
Bubenreuth;49.633;11.017
Bubesheim;48.433;10.250
Buch;48.233;10.183
Buch am Buchrain;48.217;12.000
Buch am Erlbach;48.450;12.033
Buchbach;48.317;12.267
Buchdorf;48.783;10.833
Buchen (Odenwald);49.517;9.333
Buchenbach;47.967;8.017
Buchenberg;47.700;10.233
Buchholz (Aller);52.683;9.683
Buchholz (Westerwald);50.683;7.400
Buchholz in der Nordheide;53.333;9.883
Buchloe;48.033;10.733
Buckenhof;49.600;11.050
Buckow;52.569;14.080
Budenheim;50.017;8.167
Buggingen;47.850;7.633
Bullay;50.050;7.133
Bunde;53.183;7.267
Bundenbach;49.850;7.383
Bundorf;50.217;10.517
Burbach;50.750;8.083
Burg;51.837;14.149
Burg;52.273;11.854
Burg (Dithmarschen);54.000;9.267
Burg Auf Fehmarn;54.433;11.200
Burg Stargard;53.498;13.308
Burgau;48.433;10.417
Burgberg im Allgäu;47.533;10.283
